"k","maxN"
2.46999999999999,3
3.09999999999998,4
3.55999999999997,5
3.97999999999996,6
4.27999999999996,7
4.53999999999995,8
4.79999999999995,9
5.06999999999994,10
5.28999999999994,11
5.41999999999993,12
5.57999999999993,13
5.71999999999993,14
5.87999999999992,15
6.02999999999992,16
6.14999999999992,17
6.26999999999991,18
6.39999999999991,19
6.50999999999991,20
6.60999999999991,21
6.7399999999999,22
6.8699999999999,23
6.9499999999999,24
7.0499999999999,25
7.1399999999999,26
7.27999999999989,27
7.33999999999989,28
7.39999999999989,29
7.46999999999989,30
7.49999999999989,31
7.59999999999989,32
7.66999999999988,33
7.73999999999988,34
7.77999999999988,35
7.83999999999988,36
7.89999999999988,37
7.95999999999988,38
7.97999999999988,39
7.99999999999988,40
8.05999999999988,41
8.09999999999988,42
8.14999999999987,43
8.17999999999987,44
8.21999999999987,45
8.26999999999987,46
8.28999999999987,47
8.32999999999987,48
8.34999999999987,49
8.39999999999987,50
8.42999999999987,51
8.46999999999987,52
8.50999999999987,53
8.55999999999987,54
8.58999999999986,55
8.60999999999986,56
8.65999999999986,57
8.67999999999986,58
8.72999999999986,59
8.75999999999986,60
8.81999999999986,61
8.84999999999986,62
8.86999999999986,63
8.88999999999986,64
8.94999999999986,65
8.98999999999986,66
9.00999999999986,67
9.02999999999986,68
9.06999999999985,69
9.08999999999985,70
9.10999999999985,71
9.12999999999985,72
9.13999999999985,73
9.17999999999985,74
9.19999999999985,75
9.20999999999985,76
9.24999999999985,77
9.25999999999985,78
9.27999999999985,79
9.28999999999985,80
9.29999999999985,81
9.32999999999985,82
9.35999999999985,83
9.36999999999985,84
9.39999999999985,85
9.40999999999985,86
9.41999999999985,87
9.43999999999985,88
9.44999999999985,89
9.46999999999985,90
9.47999999999985,91
9.48999999999985,92
9.50999999999985,93
9.52999999999984,94
9.54999999999984,95
9.56999999999984,96
9.57999999999984,97
9.58999999999984,98
9.60999999999984,99
9.62999999999984,100
9.63999999999984,101
9.64999999999984,102
9.66999999999984,103
9.69999999999984,104
9.70999999999984,105
9.72999999999984,106
9.73999999999984,107
9.75999999999984,108
9.76999999999984,109
9.78999999999984,110
9.79999999999984,111
9.80999999999984,112
9.83999999999984,113
9.84999999999984,114
9.85999999999984,115
9.86999999999984,116
9.86999999999984,117
9.87999999999984,118
9.89999999999984,119
9.89999999999984,120
9.91999999999984,121
9.94999999999984,122
9.94999999999984,123
9.95999999999984,124
9.98999999999984,125
9.99999999999983,126
10.0099999999998,127
10.0199999999998,128
10.0299999999998,129
10.0399999999998,130
10.0399999999998,131
10.0599999999998,132
10.0999999999998,133
10.1199999999998,134
10.1399999999998,135
10.1699999999998,136
10.1699999999998,137
10.1799999999998,138
10.1999999999998,139
10.2099999999998,140
10.2199999999998,141
10.2199999999998,142
10.2399999999998,143
10.2599999999998,144
10.2599999999998,145
10.2599999999998,146
10.2799999999998,147
10.2999999999998,148
10.3199999999998,149
10.3299999999998,150
10.3399999999998,151
10.3399999999998,152
10.3399999999998,153
10.3499999999998,154
10.3499999999998,155
10.3499999999998,156
10.3699999999998,157
10.3699999999998,158
10.3799999999998,159
10.3999999999998,160
10.4199999999998,161
10.4299999999998,162
10.4399999999998,163
10.4499999999998,164
10.4699999999998,165
10.4699999999998,166
10.4699999999998,167
10.4799999999998,168
10.4899999999998,169
10.4899999999998,170
10.5199999999998,171
10.5399999999998,172
10.5499999999998,173
10.5499999999998,174
10.5499999999998,175
10.5599999999998,176
10.5599999999998,177
10.5599999999998,178
10.5699999999998,179
10.5799999999998,180
10.5899999999998,181
10.5899999999998,182
10.5899999999998,183
10.5899999999998,184
10.5999999999998,185
10.5999999999998,186
10.6099999999998,187
10.6099999999998,188
10.6199999999998,189
10.6299999999998,190
10.6299999999998,191
10.6399999999998,192
10.6399999999998,193
10.6399999999998,194
10.6599999999998,195
10.6599999999998,196
10.6899999999998,197
10.6899999999998,198
10.6899999999998,199
10.6999999999998,200
