"k","maxN"
1.96,12
2.26999999999999,13
2.52999999999999,14
2.73999999999998,15
2.90999999999998,16
3.07999999999998,17
3.20999999999997,18
3.35999999999997,19
3.48999999999997,20
3.60999999999997,21
3.70999999999996,22
3.81999999999996,23
3.90999999999996,24
4.00999999999996,25
4.11999999999996,26
4.18999999999995,27
4.24999999999995,28
4.33999999999995,29
4.42999999999995,30
4.47999999999995,31
4.52999999999995,32
4.59999999999995,33
4.66999999999994,34
4.71999999999994,35
4.78999999999994,36
4.84999999999994,37
4.88999999999994,38
4.93999999999994,39
5.01999999999994,40
5.05999999999994,41
5.10999999999993,42
5.13999999999993,43
5.17999999999993,44
5.21999999999993,45
5.27999999999993,46
5.31999999999993,47
5.37999999999993,48
5.42999999999993,49
5.44999999999993,50
5.47999999999993,51
5.52999999999993,52
5.59999999999992,53
5.62999999999992,54
5.66999999999992,55
5.70999999999992,56
5.74999999999992,57
5.76999999999992,58
5.80999999999992,59
5.84999999999992,60
5.86999999999992,61
5.88999999999992,62
5.91999999999992,63
5.94999999999992,64
5.98999999999992,65
6.01999999999992,66
6.03999999999991,67
6.05999999999991,68
6.08999999999991,69
6.11999999999991,70
6.13999999999991,71
6.14999999999991,72
6.16999999999991,73
6.17999999999991,74
6.19999999999991,75
6.22999999999991,76
6.24999999999991,77
6.27999999999991,78
6.29999999999991,79
6.32999999999991,80
6.34999999999991,81
6.36999999999991,82
6.38999999999991,83
6.41999999999991,84
6.43999999999991,85
6.44999999999991,86
6.45999999999991,87
6.47999999999991,88
6.5299999999999,89
6.5399999999999,90
6.5699999999999,91
6.5899999999999,92
6.6099999999999,93
6.6199999999999,94
6.6299999999999,95
6.6499999999999,96
6.6599999999999,97
6.6699999999999,98
6.6799999999999,99
6.6999999999999,100
6.7299999999999,101
6.7599999999999,102
6.7899999999999,103
6.8099999999999,104
6.8299999999999,105
6.8499999999999,106
6.8699999999999,107
6.8699999999999,108
6.8999999999999,109
6.9099999999999,110
6.9199999999999,111
6.9499999999999,112
6.96999999999989,113
6.98999999999989,114
7.01999999999989,115
7.03999999999989,116
7.05999999999989,117
7.05999999999989,118
7.06999999999989,119
7.08999999999989,120
7.09999999999989,121
7.10999999999989,122
7.11999999999989,123
7.13999999999989,124
7.14999999999989,125
7.18999999999989,126
7.18999999999989,127
7.20999999999989,128
7.22999999999989,129
7.25999999999989,130
7.26999999999989,131
7.26999999999989,132
7.27999999999989,133
7.27999999999989,134
7.29999999999989,135
7.30999999999989,136
7.30999999999989,137
7.33999999999989,138
7.34999999999989,139
7.34999999999989,140
7.36999999999989,141
7.37999999999989,142
7.38999999999989,143
7.38999999999989,144
7.40999999999989,145
7.41999999999989,146
7.44999999999988,147
7.46999999999988,148
7.47999999999988,149
7.48999999999988,150
7.48999999999988,151
7.48999999999988,152
7.49999999999988,153
7.49999999999988,154
7.49999999999988,155
7.50999999999988,156
7.52999999999988,157
7.52999999999988,158
7.54999999999988,159
7.56999999999988,160
7.57999999999988,161
7.58999999999988,162
7.58999999999988,163
7.59999999999988,164
7.59999999999988,165
7.59999999999988,166
7.59999999999988,167
7.59999999999988,168
7.61999999999988,169
7.61999999999988,170
7.63999999999988,171
7.64999999999988,172
7.65999999999988,173
7.66999999999988,174
7.67999999999988,175
7.68999999999988,176
7.70999999999988,177
7.72999999999988,178
7.73999999999988,179
7.73999999999988,180
7.73999999999988,181
7.73999999999988,182
7.74999999999988,183
7.75999999999988,184
7.76999999999988,185
7.76999999999988,186
7.76999999999988,187
7.77999999999988,188
7.77999999999988,189
7.77999999999988,190
7.77999999999988,191
7.78999999999988,192
7.79999999999988,193
7.82999999999988,194
7.82999999999988,195
7.83999999999988,196
7.83999999999988,197
7.84999999999988,198
7.85999999999988,199
7.85999999999988,200
