"k","maxN"
3.09999999999999,3
4.02999999999997,4
4.60999999999996,5
5.08999999999995,6
5.53999999999994,7
5.94999999999993,8
6.26999999999992,9
6.57999999999992,10
6.77999999999991,11
7.03999999999991,12
7.1999999999999,13
7.3699999999999,14
7.5699999999999,15
7.69999999999989,16
7.84999999999989,17
7.93999999999989,18
8.05999999999989,19
8.19999999999988,20
8.34999999999988,21
8.43999999999988,22
8.48999999999988,23
8.58999999999987,24
8.69999999999987,25
8.77999999999987,26
8.86999999999987,27
8.98999999999987,28
9.04999999999986,29
9.13999999999986,30
9.19999999999986,31
9.23999999999986,32
9.28999999999986,33
9.31999999999986,34
9.36999999999986,35
9.40999999999986,36
9.46999999999985,37
9.51999999999985,38
9.63999999999985,39
9.67999999999985,40
9.73999999999985,41
9.75999999999985,42
9.78999999999985,43
9.81999999999985,44
9.87999999999985,45
9.90999999999985,46
9.97999999999984,47
10.0099999999998,48
10.0299999999998,49
10.0899999999998,50
10.1099999999998,51
10.1699999999998,52
10.1899999999998,53
10.2199999999998,54
10.2399999999998,55
10.2799999999998,56
10.3599999999998,57
10.4399999999998,58
10.4599999999998,59
10.5199999999998,60
10.5399999999998,61
10.5599999999998,62
10.5699999999998,63
10.5999999999998,64
10.6299999999998,65
10.6399999999998,66
10.6499999999998,67
10.6599999999998,68
10.6799999999998,69
10.6899999999998,70
10.6899999999998,71
10.7199999999998,72
10.7299999999998,73
10.7499999999998,74
10.7599999999998,75
10.7699999999998,76
10.7799999999998,77
10.7999999999998,78
10.7999999999998,79
10.8299999999998,80
10.8299999999998,81
10.8299999999998,82
10.8499999999998,83
10.8699999999998,84
10.9099999999998,85
10.9399999999998,86
10.9599999999998,87
10.9999999999998,88
11.0099999999998,89
11.0299999999998,90
11.0599999999998,91
11.0799999999998,92
11.0899999999998,93
11.0999999999998,94
11.0999999999998,95
11.1099999999998,96
11.1399999999998,97
11.1399999999998,98
11.1499999999998,99
11.1499999999998,100
11.1699999999998,101
11.1899999999998,102
11.1899999999998,103
11.2099999999998,104
11.2299999999998,105
11.2399999999998,106
11.2499999999998,107
11.2599999999998,108
11.2799999999998,109
11.2799999999998,110
11.2899999999998,111
11.2899999999998,112
11.3099999999998,113
11.3099999999998,114
11.3199999999998,115
11.3199999999998,116
11.3199999999998,117
11.3199999999998,118
11.3299999999998,119
11.3299999999998,120
11.3399999999998,121
11.3499999999998,122
11.3699999999998,123
11.3999999999998,124
11.4199999999998,125
11.4499999999998,126
11.4499999999998,127
11.4499999999998,128
11.4699999999998,129
11.4799999999998,130
11.4999999999998,131
11.5099999999998,132
11.5199999999998,133
11.5199999999998,134
11.5399999999998,135
11.5399999999998,136
11.5499999999998,137
11.5599999999998,138
11.5699999999998,139
11.5699999999998,140
11.5699999999998,141
11.6099999999998,142
11.6199999999998,143
11.6199999999998,144
11.6299999999998,145
11.6399999999998,146
11.6399999999998,147
11.6499999999998,148
11.6499999999998,149
11.6699999999998,150
11.6699999999998,151
11.6699999999998,152
11.6899999999998,153
11.6899999999998,154
11.6899999999998,155
11.7099999999998,156
11.7199999999998,157
11.7299999999998,158
11.7299999999998,159
11.7599999999998,160
11.7599999999998,161
11.7599999999998,162
11.7599999999998,163
11.7699999999998,164
11.7699999999998,165
11.7799999999998,166
11.7799999999998,167
11.7799999999998,168
11.7899999999998,169
11.8199999999998,170
11.8199999999998,171
11.8299999999998,172
11.8299999999998,173
11.8299999999998,174
11.8499999999998,175
11.8599999999998,176
11.8599999999998,177
11.8699999999998,178
11.8699999999998,179
11.8699999999998,180
11.8699999999998,181
11.8899999999998,182
11.8899999999998,183
11.8899999999998,184
11.8999999999998,185
11.8999999999998,186
11.8999999999998,187
11.8999999999998,188
11.9099999999998,189
11.9099999999998,190
11.9099999999998,191
11.9299999999998,192
11.9399999999998,193
11.9399999999998,194
11.9399999999998,195
11.9499999999998,196
11.9699999999998,197
11.9699999999998,198
11.9799999999998,199
11.9799999999998,200
