"FPR","k","maxN"
0.14118,"4",125
0.1413,"4",126
0.14136,"4",127
0.14152,"4",128
0.14168,"4",129
0.1418,"4",130
0.14196,"4",131
0.14206,"4",132
0.14214,"4",133
0.14222,"4",134
0.1423,"4",135
0.14246,"4",136
0.14262,"4",137
0.14274,"4",138
0.14286,"4",139
0.14294,"4",140
0.14302,"4",141
0.14318,"4",142
0.14322,"4",143
0.14326,"4",144
0.14328,"4",145
0.1434,"4",146
0.1435,"4",147
0.14364,"4",148
0.14372,"4",149
0.14384,"4",150
0.14392,"4",151
0.14402,"4",152
0.14408,"4",153
0.1441,"4",154
0.14412,"4",155
0.14424,"4",156
0.14436,"4",157
0.14438,"4",158
0.14444,"4",159
0.14454,"4",160
0.14462,"4",161
0.14474,"4",162
0.14484,"4",163
0.14488,"4",164
0.14492,"4",165
0.14498,"4",166
0.14502,"4",167
0.1451,"4",168
0.14516,"4",169
0.1452,"4",170
0.14526,"4",171
0.14534,"4",172
0.14536,"4",173
0.1455,"4",174
0.14556,"4",175
0.14564,"4",176
0.14568,"4",177
0.14576,"4",178
0.14592,"4",179
0.14602,"4",180
0.14608,"4",181
0.14616,"4",182
0.14626,"4",183
0.14634,"4",184
0.14644,"4",185
0.14648,"4",186
0.14658,"4",187
0.1466,"4",188
0.1466,"4",189
0.14662,"4",190
0.1467,"4",191
0.14676,"4",192
0.14692,"4",193
0.14696,"4",194
0.14702,"4",195
0.14706,"4",196
0.1471,"4",197
0.14714,"4",198
0.1472,"4",199
0.14726,"4",200
0.0188,"6",3
0.0292,"6",4
0.03634,"6",5
0.04162,"6",6
0.04588,"6",7
0.04934,"6",8
0.0524,"6",9
0.0554,"6",10
0.05772,"6",11
0.05952,"6",12
0.06124,"6",13
0.063,"6",14
0.06422,"6",15
0.06566,"6",16
0.06684,"6",17
0.06808,"6",18
0.06934,"6",19
0.07066,"6",20
0.07162,"6",21
0.0724,"6",22
0.07338,"6",23
0.07442,"6",24
0.0752,"6",25
0.0759,"6",26
0.07684,"6",27
0.07752,"6",28
0.07824,"6",29
0.07866,"6",30
0.07904,"6",31
0.07958,"6",32
0.07986,"6",33
0.08022,"6",34
0.08072,"6",35
0.08118,"6",36
0.08174,"6",37
0.08212,"6",38
0.08256,"6",39
0.0829,"6",40
0.08342,"6",41
0.08386,"6",42
0.08418,"6",43
0.0845,"6",44
0.0849,"6",45
0.08516,"6",46
0.08562,"6",47
0.08598,"6",48
0.08632,"6",49
0.08664,"6",50
0.08692,"6",51
0.08722,"6",52
0.08742,"6",53
0.0876,"6",54
0.08786,"6",55
0.08814,"6",56
0.0884,"6",57
0.08854,"6",58
0.08874,"6",59
0.08896,"6",60
0.08918,"6",61
0.08936,"6",62
0.08956,"6",63
0.08972,"6",64
0.08984,"6",65
0.09,"6",66
0.0901,"6",67
0.09026,"6",68
0.09048,"6",69
0.09058,"6",70
0.09076,"6",71
0.0909,"6",72
0.09102,"6",73
0.0911,"6",74
0.09118,"6",75
0.09134,"6",76
0.0916,"6",77
0.0917,"6",78
0.09184,"6",79
0.09208,"6",80
0.09228,"6",81
0.0924,"6",82
0.09258,"6",83
0.09272,"6",84
0.09282,"6",85
0.09294,"6",86
0.09304,"6",87
0.0932,"6",88
0.09336,"6",89
0.09344,"6",90
0.0935,"6",91
0.09364,"6",92
0.09372,"6",93
0.09374,"6",94
0.09386,"6",95
0.09406,"6",96
0.09412,"6",97
0.0942,"6",98
0.09428,"6",99
0.09438,"6",100
0.09446,"6",101
0.0946,"6",102
0.09476,"6",103
0.0948,"6",104
0.09488,"6",105
0.09496,"6",106
0.09508,"6",107
0.0952,"6",108
0.09532,"6",109
0.09534,"6",110
0.09538,"6",111
0.09546,"6",112
0.0956,"6",113
0.0957,"6",114
0.0959,"6",115
0.09596,"6",116
0.09608,"6",117
0.09612,"6",118
0.09614,"6",119
0.09622,"6",120
0.0963,"6",121
0.09636,"6",122
0.0964,"6",123
0.09644,"6",124
0.09654,"6",125
0.09662,"6",126
0.09674,"6",127
0.09684,"6",128
0.09698,"6",129
0.09704,"6",130
0.09714,"6",131
0.09718,"6",132
0.09728,"6",133
0.09744,"6",134
0.09754,"6",135
0.09756,"6",136
0.09766,"6",137
0.09778,"6",138
0.09786,"6",139
0.09796,"6",140
0.09802,"6",141
0.09808,"6",142
0.09814,"6",143
0.09824,"6",144
0.09826,"6",145
0.09836,"6",146
0.09836,"6",147
0.09838,"6",148
0.09838,"6",149
0.09848,"6",150
0.09858,"6",151
0.09866,"6",152
0.09882,"6",153
0.09888,"6",154
0.09896,"6",155
0.09896,"6",156
0.09906,"6",157
0.09914,"6",158
0.09916,"6",159
0.09922,"6",160
0.09928,"6",161
0.09932,"6",162
0.09934,"6",163
0.09936,"6",164
0.09942,"6",165
0.09952,"6",166
0.09964,"6",167
0.09966,"6",168
0.0997,"6",169
0.09976,"6",170
0.0998,"6",171
0.09986,"6",172
0.09994,"6",173
0.09998,"6",174
0.10002,"6",175
0.10004,"6",176
0.10012,"6",177
0.10016,"6",178
0.10018,"6",179
0.10024,"6",180
0.10028,"6",181
0.10032,"6",182
0.10036,"6",183
0.1004,"6",184
0.10048,"6",185
0.10054,"6",186
0.10054,"6",187
0.10056,"6",188
0.10062,"6",189
0.10066,"6",190
0.10068,"6",191
0.10074,"6",192
0.10078,"6",193
0.10084,"6",194
0.10086,"6",195
0.10094,"6",196
0.101,"6",197
0.10102,"6",198
0.10102,"6",199
0.10106,"6",200
0.05,"fixed N NHST",3
0.05,"fixed N NHST",4
0.05,"fixed N NHST",5
0.05,"fixed N NHST",6
0.05,"fixed N NHST",7
0.05,"fixed N NHST",8
0.05,"fixed N NHST",9
0.05,"fixed N NHST",10
0.05,"fixed N NHST",11
0.05,"fixed N NHST",12
0.05,"fixed N NHST",13
0.05,"fixed N NHST",14
0.05,"fixed N NHST",15
0.05,"fixed N NHST",16
0.05,"fixed N NHST",17
0.05,"fixed N NHST",18
0.05,"fixed N NHST",19
0.05,"fixed N NHST",20
0.05,"fixed N NHST",21
0.05,"fixed N NHST",22
0.05,"fixed N NHST",23
0.05,"fixed N NHST",24
0.05,"fixed N NHST",25
0.05,"fixed N NHST",26
0.05,"fixed N NHST",27
0.05,"fixed N NHST",28
0.05,"fixed N NHST",29
0.05,"fixed N NHST",30
0.05,"fixed N NHST",31
0.05,"fixed N NHST",32
0.05,"fixed N NHST",33
0.05,"fixed N NHST",34
0.05,"fixed N NHST",35
0.05,"fixed N NHST",36
0.05,"fixed N NHST",37
0.05,"fixed N NHST",38
0.05,"fixed N NHST",39
0.05,"fixed N NHST",40
0.05,"fixed N NHST",41
0.05,"fixed N NHST",42
0.05,"fixed N NHST",43
0.05,"fixed N NHST",44
0.05,"fixed N NHST",45
0.05,"fixed N NHST",46
0.05,"fixed N NHST",47
0.05,"fixed N NHST",48
0.05,"fixed N NHST",49
0.05,"fixed N NHST",50
0.05,"fixed N NHST",51
0.05,"fixed N NHST",52
0.05,"fixed N NHST",53
0.05,"fixed N NHST",54
0.05,"fixed N NHST",55
0.05,"fixed N NHST",56
0.05,"fixed N NHST",57
0.05,"fixed N NHST",58
0.05,"fixed N NHST",59
0.05,"fixed N NHST",60
0.05,"fixed N NHST",61
0.05,"fixed N NHST",62
0.05,"fixed N NHST",63
0.05,"fixed N NHST",64
0.05,"fixed N NHST",65
0.05,"fixed N NHST",66
0.05,"fixed N NHST",67
0.05,"fixed N NHST",68
0.05,"fixed N NHST",69
0.05,"fixed N NHST",70
0.05,"fixed N NHST",71
0.05,"fixed N NHST",72
0.05,"fixed N NHST",73
0.05,"fixed N NHST",74
0.05,"fixed N NHST",75
0.05,"fixed N NHST",76
0.05,"fixed N NHST",77
0.05,"fixed N NHST",78
0.05,"fixed N NHST",79
0.05,"fixed N NHST",80
0.05,"fixed N NHST",81
0.05,"fixed N NHST",82
0.05,"fixed N NHST",83
0.05,"fixed N NHST",84
0.05,"fixed N NHST",85
0.05,"fixed N NHST",86
0.05,"fixed N NHST",87
0.05,"fixed N NHST",88
0.05,"fixed N NHST",89
0.05,"fixed N NHST",90
0.05,"fixed N NHST",91
0.05,"fixed N NHST",92
0.05,"fixed N NHST",93
0.05,"fixed N NHST",94
0.05,"fixed N NHST",95
0.05,"fixed N NHST",96
0.05,"fixed N NHST",97
0.05,"fixed N NHST",98
0.05,"fixed N NHST",99
0.05,"fixed N NHST",100
0.05,"fixed N NHST",101
0.05,"fixed N NHST",102
0.05,"fixed N NHST",103
0.05,"fixed N NHST",104
0.05,"fixed N NHST",105
0.05,"fixed N NHST",106
0.05,"fixed N NHST",107
0.05,"fixed N NHST",108
0.05,"fixed N NHST",109
0.05,"fixed N NHST",110
0.05,"fixed N NHST",111
0.05,"fixed N NHST",112
0.05,"fixed N NHST",113
0.05,"fixed N NHST",114
0.05,"fixed N NHST",115
0.05,"fixed N NHST",116
0.05,"fixed N NHST",117
0.05,"fixed N NHST",118
0.05,"fixed N NHST",119
0.05,"fixed N NHST",120
0.05,"fixed N NHST",121
0.05,"fixed N NHST",122
0.05,"fixed N NHST",123
0.05,"fixed N NHST",124
0.05,"fixed N NHST",125
0.05,"fixed N NHST",126
0.05,"fixed N NHST",127
0.05,"fixed N NHST",128
0.05,"fixed N NHST",129
