"Decision","N","SD_ymax","SD_ymin","outcome","D"
6.48,20.1416666666667,32.2347230775351,8.04861025579824,"Stop for H1",0
9.94666666666667,22.4390666666667,36.0740271704141,8.80410616291927,"Stop for H1",0.05
15.7933333333333,23.9522,38.3129775075739,9.59142249242607,"Stop for H1",0.1
23.4666666666667,25.6566,40.5832405043616,10.7299594956384,"Stop for H1",0.15
32.7733333333333,26.8298,42.0014284727129,11.658171527287,"Stop for H1",0.2
43,27.0872666666667,42.1033563726751,12.0711769606582,"Stop for H1",0.25
54.1466666666667,26.6848666666667,41.3641419572623,12.005591376071,"Stop for H1",0.3
65.7533333333333,25.9779333333333,40.1493094693688,11.8065571972979,"Stop for H1",0.35
75.5066666666667,24.4959333333333,37.8831834129128,11.1086832537538,"Stop for H1",0.4
84.1466666666667,22.5364666666667,34.7280667471753,10.3448665861581,"Stop for H1",0.45
89.8866666666667,20.8565333333333,31.8798503575675,9.83321630909921,"Stop for H1",0.5
94,19.214,28.9578185601612,9.47018143983878,"Stop for H1",0.55
96.5466666666667,17.6860666666667,26.090174063071,9.28195927026236,"Stop for H1",0.6
98.0866666666667,16.5078,23.7189815422959,9.2966184577041,"Stop for H1",0.65
98.8666666666667,15.5189333333333,21.6759701316396,9.36189653502703,"Stop for H1",0.7
99.4533333333333,14.6226,19.7345511646383,9.51064883536166,"Stop for H1",0.75
99.68,13.9446666666667,18.033340376531,9.85599295680231,"Stop for H1",0.8
99.8533333333333,13.4437333333333,16.8211477078827,10.066318958784,"Stop for H1",0.85
99.9133333333333,13.0852666666667,15.941115633339,10.2294176999943,"Stop for H1",0.9
99.96,12.7851333333333,15.06410500853,10.5061616581367,"Stop for H1",0.95
99.9933333333333,12.5538666666667,14.375364101677,10.7323692316563,"Stop for H1",1
99.9866666666667,12.3937333333333,13.8487643306787,10.938702335988,"Stop for H1",1.05
99.9933333333333,12.2730666666667,13.4353881920248,11.1107451413086,"Stop for H1",1.1
100,12.1858666666667,13.1210557139324,11.2506776194009,"Stop for H1",1.15
99.9933333333333,12.1324666666667,12.8613159860125,11.4036173473208,"Stop for H1",1.2
100,12.0849333333333,12.654033137581,11.5158335290857,"Stop for H1",1.25
100,12.0546666666667,12.5102528013737,11.5990805319596,"Stop for H1",1.3
100,12.0353333333333,12.3717246226015,11.6989420440651,"Stop for H1",1.35
100,12.0204,12.2606519956242,11.7801480043758,"Stop for H1",1.4
100,12.0154666666667,12.2152084383134,11.8157248950199,"Stop for H1",1.45
100,12.0100666666667,12.1665923692693,11.853540964064,"Stop for H1",1.5
85.58,20.1416666666667,32.2347230775351,8.04861025579824,"Stop for H0",0
77.4,22.4390666666667,36.0740271704141,8.80410616291927,"Stop for H0",0.05
68.6,23.9522,38.3129775075739,9.59142249242607,"Stop for H0",0.1
57.44,25.6566,40.5832405043616,10.7299594956384,"Stop for H0",0.15
45.9666666666667,26.8298,42.0014284727129,11.658171527287,"Stop for H0",0.2
36.4,27.0872666666667,42.1033563726751,12.0711769606582,"Stop for H0",0.25
27.46,26.6848666666667,41.3641419572623,12.005591376071,"Stop for H0",0.3
18.9533333333333,25.9779333333333,40.1493094693688,11.8065571972979,"Stop for H0",0.35
13.42,24.4959333333333,37.8831834129128,11.1086832537538,"Stop for H0",0.4
9.14666666666667,22.5364666666667,34.7280667471753,10.3448665861581,"Stop for H0",0.45
6.07333333333333,20.8565333333333,31.8798503575675,9.83321630909921,"Stop for H0",0.5
3.72666666666667,19.214,28.9578185601612,9.47018143983878,"Stop for H0",0.55
2.41333333333333,17.6860666666667,26.090174063071,9.28195927026236,"Stop for H0",0.6
1.42,16.5078,23.7189815422959,9.2966184577041,"Stop for H0",0.65
0.933333333333333,15.5189333333333,21.6759701316396,9.36189653502703,"Stop for H0",0.7
0.486666666666667,14.6226,19.7345511646383,9.51064883536166,"Stop for H0",0.75
0.3,13.9446666666667,18.033340376531,9.85599295680231,"Stop for H0",0.8
0.14,13.4437333333333,16.8211477078827,10.066318958784,"Stop for H0",0.85
0.0866666666666667,13.0852666666667,15.941115633339,10.2294176999943,"Stop for H0",0.9
0.04,12.7851333333333,15.06410500853,10.5061616581367,"Stop for H0",0.95
0.00666666666666667,12.5538666666667,14.375364101677,10.7323692316563,"Stop for H0",1
0.0133333333333333,12.3937333333333,13.8487643306787,10.938702335988,"Stop for H0",1.05
0.00666666666666667,12.2730666666667,13.4353881920248,11.1107451413086,"Stop for H0",1.1
0,12.1858666666667,13.1210557139324,11.2506776194009,"Stop for H0",1.15
0.00666666666666667,12.1324666666667,12.8613159860125,11.4036173473208,"Stop for H0",1.2
0,12.0849333333333,12.654033137581,11.5158335290857,"Stop for H0",1.25
0,12.0546666666667,12.5102528013737,11.5990805319596,"Stop for H0",1.3
0,12.0353333333333,12.3717246226015,11.6989420440651,"Stop for H0",1.35
0,12.0204,12.2606519956242,11.7801480043758,"Stop for H0",1.4
0,12.0154666666667,12.2152084383134,11.8157248950199,"Stop for H0",1.45
0,12.0100666666667,12.1665923692693,11.853540964064,"Stop for H0",1.5
92.06,20.1416666666667,32.2347230775351,8.04861025579824,"Stop for H1 OR H0",0
87.3466666666667,22.4390666666667,36.0740271704141,8.80410616291927,"Stop for H1 OR H0",0.05
84.3933333333333,23.9522,38.3129775075739,9.59142249242607,"Stop for H1 OR H0",0.1
80.9066666666667,25.6566,40.5832405043616,10.7299594956384,"Stop for H1 OR H0",0.15
78.74,26.8298,42.0014284727129,11.658171527287,"Stop for H1 OR H0",0.2
79.4,27.0872666666667,42.1033563726751,12.0711769606582,"Stop for H1 OR H0",0.25
81.6066666666667,26.6848666666667,41.3641419572623,12.005591376071,"Stop for H1 OR H0",0.3
84.7066666666667,25.9779333333333,40.1493094693688,11.8065571972979,"Stop for H1 OR H0",0.35
88.9266666666667,24.4959333333333,37.8831834129128,11.1086832537538,"Stop for H1 OR H0",0.4
93.2933333333333,22.5364666666667,34.7280667471753,10.3448665861581,"Stop for H1 OR H0",0.45
95.96,20.8565333333333,31.8798503575675,9.83321630909921,"Stop for H1 OR H0",0.5
97.7266666666667,19.214,28.9578185601612,9.47018143983878,"Stop for H1 OR H0",0.55
98.96,17.6860666666667,26.090174063071,9.28195927026236,"Stop for H1 OR H0",0.6
99.5066666666667,16.5078,23.7189815422959,9.2966184577041,"Stop for H1 OR H0",0.65
99.8,15.5189333333333,21.6759701316396,9.36189653502703,"Stop for H1 OR H0",0.7
99.94,14.6226,19.7345511646383,9.51064883536166,"Stop for H1 OR H0",0.75
99.98,13.9446666666667,18.033340376531,9.85599295680231,"Stop for H1 OR H0",0.8
99.9933333333333,13.4437333333333,16.8211477078827,10.066318958784,"Stop for H1 OR H0",0.85
100,13.0852666666667,15.941115633339,10.2294176999943,"Stop for H1 OR H0",0.9
100,12.7851333333333,15.06410500853,10.5061616581367,"Stop for H1 OR H0",0.95
100,12.5538666666667,14.375364101677,10.7323692316563,"Stop for H1 OR H0",1
100,12.3937333333333,13.8487643306787,10.938702335988,"Stop for H1 OR H0",1.05
100,12.2730666666667,13.4353881920248,11.1107451413086,"Stop for H1 OR H0",1.1
100,12.1858666666667,13.1210557139324,11.2506776194009,"Stop for H1 OR H0",1.15
100,12.1324666666667,12.8613159860125,11.4036173473208,"Stop for H1 OR H0",1.2
