"Decision","N","SD_ymax","SD_ymin","outcome","D"
2.99333333333333,13.5255333333333,14.9542451529059,12.0968215137607,"Stop for H1",0
4.26666666666667,13.7116,15.1298240763135,12.2933759236865,"Stop for H1",0.05
6.50666666666667,13.8356666666667,15.2273049096578,12.4440284236755,"Stop for H1",0.1
9.01333333333333,13.9776666666667,15.3355906284755,12.6197427048578,"Stop for H1",0.15
12.0733333333333,14.0854666666667,15.40066402771,12.7702693056233,"Stop for H1",0.2
15.36,14.1279333333333,15.4259621160664,12.8299045506002,"Stop for H1",0.25
20.1,14.1502666666667,15.4308118299792,12.8697215033541,"Stop for H1",0.3
24.9466666666667,14.1435333333333,15.4300694556019,12.8569972110648,"Stop for H1",0.35
30.6333333333333,14.0803333333333,15.3913613556072,12.7693053110595,"Stop for H1",0.4
37.6,13.9465333333333,15.3076351500365,12.5854315166302,"Stop for H1",0.45
43.6866666666667,13.839,15.2252204395912,12.4527795604088,"Stop for H1",0.5
50.48,13.6943333333333,15.1039078609523,12.2847588057144,"Stop for H1",0.55
57.62,13.52,14.9385911414928,12.1014088585072,"Stop for H1",0.6
63.4066666666667,13.3631333333333,14.774822760943,11.9514439057237,"Stop for H1",0.65
69.7866666666667,13.1844666666667,14.5682897695165,11.8006435638169,"Stop for H1",0.7
76.1866666666667,12.983,14.3091076769144,11.6568923230856,"Stop for H1",0.75
80.8733333333333,12.8305333333333,14.0891781050354,11.5718885616313,"Stop for H1",0.8
85.3733333333333,12.6822,13.8557253032817,11.5086746967183,"Stop for H1",0.85
89.0933333333333,12.551,13.6307577159321,11.4712422840679,"Stop for H1",0.9
91.6933333333333,12.43,13.4006850580726,11.4593149419274,"Stop for H1",0.95
94.24,12.3293333333333,13.1887064325732,11.4699602340935,"Stop for H1",1
95.8733333333333,12.2547333333333,13.0166714096871,11.4927952569796,"Stop for H1",1.05
97.3066666666667,12.1875333333333,12.8425599380442,11.5325067286224,"Stop for H1",1.1
98.3466666666667,12.1352666666667,12.6895741138522,11.5809592194812,"Stop for H1",1.15
98.7266666666667,12.1009333333333,12.5781065812313,11.6237600854354,"Stop for H1",1.2
99.24,12.0664666666667,12.4576090725936,11.6753242607397,"Stop for H1",1.25
99.6333333333333,12.0440666666667,12.3551903003183,11.7329430330151,"Stop for H1",1.3
99.7066666666667,12.0296666666667,12.2834201854182,11.7759131479152,"Stop for H1",1.35
99.88,12.0182,12.2124625608024,11.8239374391976,"Stop for H1",1.4
99.9,12.0139333333333,12.1808895766469,11.8469770900198,"Stop for H1",1.45
99.94,12.0092,12.1425537109125,11.8758462890875,"Stop for H1",1.5
54.8666666666667,13.5255333333333,14.9542451529059,12.0968215137607,"Stop for H0",0
46.9,13.7116,15.1298240763135,12.2933759236865,"Stop for H0",0.05
40.6266666666667,13.8356666666667,15.2273049096578,12.4440284236755,"Stop for H0",0.1
32.6533333333333,13.9776666666667,15.3355906284755,12.6197427048578,"Stop for H0",0.15
25.9666666666667,14.0854666666667,15.40066402771,12.7702693056233,"Stop for H0",0.2
20.96,14.1279333333333,15.4259621160664,12.8299045506002,"Stop for H0",0.25
